Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DOX,Amdocs Limited,66.13,9353691720,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.3479,4129530.904,n/a,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,120,3820320240,n/a,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
UHAL,Amerco,355.67,6973901958,n/a,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",1.5,34310170.5,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.205,0,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",5.9,356672275.2,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",16.94,55946960454,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",39.48,18180903848,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AETI,"American Electric Technologies, Inc.",0.87,7757040.93,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AFIN,"American Finance Trust, Inc.",16.69,1771200247,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin
AMNB,"American National Bankshares, Inc.",40.3,351070508.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,127.72,3433809546,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,15.22,827801280.1,n/a,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",32.45,532954321.9,n/a,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",45.7,872133224.6,n/a,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,16,93836832,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",12.87,397764480,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,6.55,139043865.1,n/a,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,83.55,1470000256,n/a,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",82.45,567528579.7,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,47.4,2252384579,n/a,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",63.95,1232315221,n/a,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,4.5,81112914,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,28.5335,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,26.9,250463559.7,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,202.93,1.31E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
